MovieName,Director,Music Director,Genre,Cast,Review,Censorship,Month
Darbar (U/A),Murugadoss A.r.,Anirudh Ravichander,Action,"Cast: Rajinikanth , Nayantara , Sunil Shetty, Prateik Babbar, Jatin Sarna, Nivetha Thomas, Dalip Tahil 
                                 Drama",56%,(U/A),Jan
Pattas (U),Durai Senthilkumar R.s,Vivek - Mervin,Action,"Cast: Dhanush , Mehreen Pirzada, Naveen Chandra, Sneha , Nassar , Sathish",53%,(U),Jan
Rajavukku Check (U/A),Sai Rajkumar,Vinod Yajamanya,Action,"Cast: Cheran , Srushti Dange, Sarayu",50%,(U/A),Jan
Psycho (A),Myshkin,Ilaiyaraja,Thriller,"Cast: Udhayanidhi Stalin, Aditi Rao Hydari, Nithya Menen, Ram , Shaji Chen, Singampuli, Aadukalam Naren",60%,(A),Jan
Taana (U),Yuvaraj Subramani,Vishal Chandrasekhar,Comedy,"Cast: Vaibhav Reddy, Yogi Babu, Nandita Das, Pandiarajan",39%,(U),Jan
Dagaalty (U/A),Vijay Anand,Vijay Narain,Comedy,"Cast: Santhanam , Yogi Babu, Rittika Sen, Radha Ravi , Tarun Arora, Santhana Bharathi, Mano Bala 
                                 Drama",38%,(U/A),Jan
Naadodigal 2 (U/A),Samudirakanni,Justin Prabhakaran,Drama,"Casr: Sasikumar,",48%,(U/A),Jan
Vaanam Kottattum (U),Dhana,Sid Sriram,Action,"Cast: Vikram Prabhu, Madonna Sebastian, Raadhika Sarathkumar, Aishwarya Rajesh, Sarathkumar R, Raadhika Sarathkumar, Nandha Durairaj 
                                 Drama",58%,(U),Feb
Seeru (U/A),Rathna Shiva,Imman D,Action,"Cast: Sathish , Varun , Jiiva Choudry, Riya Suman",53%,(U/A),Feb
Oh My Kadavule (U/A),Ashwath Marimuthu,Leon James,Love,"Cast: Ashok Selvan, Ritika Singh, Vani Bhojan, Ms Bhaskar, Ramesh Thilak",64%,(U/A),Feb
Naan Sirithal (U),Raana,Hiphop Tamizha,Comedy,"Cast: Hiphop Tamizha Adhi, Iswarya Menon, Mime Gopi",54%,(U),Feb
God Father (U/A),Jegan Rajshekar,Naviin Ravindran,Action,"Cast: Natraj, Ananya , Lal",50%,(U/A),Feb
Mafia (U/A),Karthick Naren,Jakes Bejoy,Action,"Cast: Arun Vijay, Prasanna , Priya Bhavanisankar",56%,(U/A),Feb
