SNo,Director,MovieName,ReleaseMonth,Genre,Actor,Actress,Comedian,ProductionHouse,Censorship,TargetAudience,CriticRating,HitOrFlop,ViewerRating
1,GVM,VaaranamAayiram,Nov,Drama,Surya,Sameera Reddy,,AascarFlims,U,A,8,Hit,9.8
2,Atlee,RajaRani,Sep,Romance,Arya,Nayanthara,Santhanam,FoxStarStudio,UA,A,7.6,Hit,8.5
3,Siva,Veeram,Jan,Action,Ajith,Tamannaah,Santhanam,VijayaProductions,UA,B,6.5,Hit,7.8
4,Vetrimaaran,VadaChennai,Oct,Action,Dhanush,AishwaryaRajesh,,WunderbarFilms,A,A,8.5,Hit,9.3
5,Maniratnam,AayuthaEzhuthu,May,Thriller,Surya,Trisha,,MadrasTalkies,UA,B,7.8,Hit,8.4
6,A.R.Murugadoss,Sarkar,Nov,Action,Vijay,KeerthySuresh,YogiBabu,SunPictures,U,B,6.8,Hit,8.1
7,A.R.Murugadoss,Ghajini,Dec,Thriller,Surya,Asin,,SriSaravanaaCreations,U,A,7.3,Hit,8.7
8,Siva,Vivegam,Aug,Action,Ajith,Kajal,,SathyaJyothiFilms,UA,B,5.6,Flop,6.1
9,Hari,Thamizh,Apr,Drama,Prashanth,Simran,Vadivelu,AmuthaDuarairaj,U,B,6.1,Hit,6.9
10,Vetrimaaran,Polladhavan,Nov,Action,Dhanush,DivyaSpandana,Santhanam,GroupCompany,UA,A,7.6,Hit,7.9
11,K.S.Ravikumar,Aadhavan,Oct,Action,Surya,Nyanthara,Vadivelu,RedGiantMovies,U,B,5.2,Hit,7.1
12,GVM,AchchamYenbadhuMadamaiyada,Nov,Romance,Simbu,ManjimaMohan,,PhotonKathaas,U,A,6.4,Flop,5.4
13,K.S.Ravikumar,Jaggubhai,Jan,Action,SarathKumar,ShriyaSaran,Goundamani,UTVMotionPictures,U,B,3.9,Flop,4.3
14,Myshkin,ChithiramPesuthadi,Feb,Drama,Narain,Bhavana,,DreambridgeProductions,U,B,7.1,Hit,7.6
15,A.R.Murugadoss,Thuppakki,Nov,Thriller,Vijay,Kajal,Sathyan,V.Creations,U,A,7.9,Hit,8.9
16,Atlee,Theri,Apr,Action,Vijay,Samantha,Rajandran,Thanu,UA,A,7.7,Hit,8.9
17,Hari,Aaru,Dec,Action,Surya,Trisha,Vadivelu,Saran,UA,B,5.7,Hit,7.7
18,Bala,AvanIvan,Jun,Drama,Vishal,MadhuShalini,,Thanu,UA,B,6.2,Flop,6.4
19,Siva,Viswasam,Jan,Action,Ajith,Nayanthara,RoboShankar,SathyaJyothiFilms,UA,B,6.7,Hit,7.8
20,Atlee,Mersal,Oct,Action,Vijay,NithyaMenon,Vadivel,ThenandalStudio,UA,A,7.7,Hit,8.4
21,Shankar,Gentleman,Jul,Action,Arjun,Madhoo,,ARSFilm,UA,B,7.9,Hit,8.3
22,Bala,TharaiThappattai,Jan,Drama,SasiKumar,Varalaxmi,,BStudios,UA,B,5.6,Flop,6.1
23,KarthikSubbaraj,Iraivi,Jun,Drama,VijaySethupathi,PoojaDevariya,,ThirukumaranEntertainment,UA,B,8,Hit,8.5
24,KarthikSubbaraj,Petta,Jan,Action,Rajini,Simran,,SunPictures,UA,B,7.3,Hit,7.9
25,K.Selvaraghavan,MayakkamEnna,Nov,Romance,Dhanush,RichaLangella,,UTVMotionPictures,UA,A,7.6,Hit,8.1
26,Shankar,Anniyan,Jun,Action,Vikram,Sadha,Vivek,AascarFilm,UA,B,8.2,Hit,8.6
27,Shankar,Boys,Aug,Romance,Siddharth,Genelia,Vivek,SriSuryaMovies,UA,A,7.2,Hit,7.9
28,Bala,NaanKadavul,Jan,Action,Arya,PoojaUmashakar,Singampuli,VasanVisualVentures,UA,B,7.8,Hit,8.1
29,GVM,VinnaithaandiVaruvaayaa,Feb,Romance,Simbu,Trisha,VTVGanesh,EscapeArtistsMotionPictures,UA,A,8,Hit,9.4
30,Bala,Nandha,Nov,Drama,Surya,Laila,Karunas,AparajeethFilms,UA,B,7.6,Hit,7.9
31,K.S.Ravikumar,Linga,Dec,Drama,Rajinikanth,Anushka,Santhanam,RocklineProduction,U,B,5.6,Flop,7.1
32,Bala,Sethu,Dec,Drama,Vikram,Abitha,Sriman,Kandasamy,UA,B,8.1,Hit,8.5
33,Hari,Ayya,Jan,Drama,SarathKumar,Nayanthara,Vadivelu,KavithalayaaProductions,U,B,5.7,Hit,7.6
